blood,Hemoglobin,#####,#####,####,####,####
blood,Hemoglobin,#####,#####,####,####,####
2021-04-25-22-15-56,50,1,0.502436882175152,0.913137778532692,0.4467496035511856,0.9088042950044449
2021-04-25-22-17-10,50,1,0.3152588590076707,0.9658018583408611,0.5259361018622399,0.8736102078206167
2021-04-25-22-18-25,50,1,0.4358805498659128,0.9346263267052564,0.5283872372900558,0.8724293784111674
2021-04-25-22-19-39,50,1,0.3517430905616734,0.9574284896378664,0.5179432579625635,0.8774226009245403
2021-04-25-22-20-54,50,1,0.8591936486228862,0.7459904623200033,0.4867787626935321,0.8917297153943464
2021-04-25-22-22-11,50,1,0.4293863219115145,0.936559832656813,0.5175216506721084,0.8776220764101677
2021-04-25-22-23-30,50,1,0.5129031967667966,0.909481214170811,0.46193758609378743,0.9024981997242655
2021-04-25-22-24-45,50,1,0.34806933259246514,0.9583131164477698,0.5079298522861847,0.8821163675336992
2021-04-25-22-25-56,50,1,0.7051297527814621,0.8289173423248559,0.43871327770370955,0.9120557214321918
2021-04-25-22-27-09,50,1,0.25302454347661524,0.9779710798844378,0.5095305241123899,0.8813722083606067
2021-04-25-22-28-21,50,1,0.27638049088701383,0.9737165315319883,0.5021911564753477,0.884765066744224
2021-04-25-22-29-40,50,1,0.3385235881631531,0.960568274745974,0.5164144519717712,0.8781451530207413
2021-04-25-22-30-51,50,1,0.6080670242050743,0.8727754825835454,0.4222644189766137,0.9185267557862833
2021-04-25-22-32-03,50,1,0.38476345171997217,0.9490603997596452,0.47834463980079467,0.8954490804363481
2021-04-25-22-33-14,50,1,0.318038528896811,0.9651961426452466,0.5449843473237352,0.8642892997680631
2021-04-25-22-34-27,50,1,0.3351426213594619,0.9613519814806776,0.49466953344196096,0.8881911038924306
2021-04-25-22-35-39,50,1,0.3535229080800722,0.9569965765821191,0.43895149166652697,0.9119601909625272
2021-04-25-22-36-52,50,1,0.4862585853014168,0.9186415862372982,0.4995167672291074,0.8859891522622514
2021-04-25-22-38-04,50,1,0.43175290089814544,0.9358585997583844,0.540198952761905,0.8666621312017078
2021-04-25-22-39-17,50,1,0.5304425417664985,0.9031845645799885,0.3799435873558838,0.9340394495341814
2021-04-25-22-40-29,50,1,0.5610654237728429,0.8916834248843281,0.42701856075717026,0.9166818653335551
